net,length_um
u_cnt.count\[0\],198.52
u_cnt.count\[2\],182
clknet_1_1__leaf_clk,173.7
_054_,170.06
u_cnt.count\[1\],165.88
u_cnt.count\[3\],143.33
net1,142.47
u_cnt.clk,138.06
div_cntr\[13\],136.42
div_cntr\[1\],133.95
div_cntr\[0\],132.89
_061_,132.78
clknet_1_0__leaf_clk,131.32
div_cntr\[5\],127.71
div_cntr\[4\],124.1
div_cntr\[12\],122.18
div_cntr\[16\],114.2
div_cntr\[7\],113.8
div_cntr\[3\],110.72
net3,107.5
_001_,107.14
div_cntr\[6\],106.84
net8,105
_037_,104.82
div_cntr\[8\],103.78
_017_,103.285
_038_,101.78
_049_,101.14
_031_,98.16
_056_,96.42
_032_,95.34
div_cntr\[14\],92.02
_034_,91.64
div_cntr\[17\],91.5
_047_,91.26
_028_,91.16
div_cntr\[10\],90.54
_012_,88.74
clk,87.28
net7,79.84
_002_,78.78
_050_,77.02
_051_,76.44
div_cntr\[18\],75.16
net5,72.7
div_cntr\[2\],71.44
_060_,70.64
_020_,70.245
net6,68.36
div_cntr\[11\],65.88
div_cntr\[9\],64.72
_014_,60.02
_043_,59.9
_008_,59.565
_042_,58.52
_013_,57.6
div_cntr\[15\],52.42
_019_,52.105
_033_,52.1
_006_,51.86
_057_,48.34
net2,46.38
_046_,44.02
_053_,42.18
_040_,41.36
_016_,41.305
_005_,41.02
_030_,40.59
_024_,40.47
_044_,39.7
_011_,35.865
_021_,33.805
_003_,33.46
_058_,32.8
_027_,32.02
_022_,31.715
net4,30.32
_029_,29.98
_035_,28.56
_062_,24.38
_036_,23.46
_052_,23.38
_039_,22.7
_015_,21.585
_059_,21.24
_009_,19.88
clknet_0_clk,19.18
_010_,18.705
_041_,18.14
_007_,17.645
_055_,16.94
_026_,16.48
_023_,15.845
_004_,14.095
_000_,14.06
seg[4],13.76
seg[2],13.28
net10,11.92
net9,11.68
btnC,10.76
net11,10.08
net12,10.08
net13,10.08
net14,10.08
net15,10.08
net16,10.08
seg[0],10.08
seg[1],10.08
seg[3],10.08
seg[5],10.08
seg[6],10.08
_018_,8.205
_048_,5.38
_025_,5.07
net17,4.6
_045_,2.92
