net,length_um
_0189_,1563.1
_0191_,1524.75
_0193_,1514.57
net14,1509.24
_0322_,1446.72
_0504_,1425.875
_0202_,1424.515
_0400_,1398.5
net13,1397.1
net12,1382.18
_0320_,1378.86
_0345_,1369.54
_0140_,1356.745
_0517_,1352.9
net4,1343.64
_0314_,1343.42
_0347_,1318.21
_0507_,1317.59
net5,1315.23
_0231_,1309.33
_0349_,1301.62
_0402_,1295.635
_0192_,1294.98
_0529_,1285.84
_0511_,1282.18
net1,1281.88
_0404_,1281.535
_0195_,1280.605
_0520_,1275.43
_0196_,1274.92
_0510_,1269.94
_0396_,1265.4
net6,1215.11
_0515_,1213.645
_0198_,1211.02
_0205_,1209.38
net25,1199.28
_0190_,1188.36
_0513_,1186.61
_0324_,1155.935
_0506_,1153.515
_0509_,1143.13
_0194_,1135.315
_0505_,1130.68
net11,1109.7
_0210_,1109.11
_0503_,1106.58
_0381_,1083.9
_0199_,1073.42
_0204_,1064.16
net29,1046.26
net19,1042.48
net21,1041.68
_0340_,1034.36
_0524_,1000.22
net15,994.36
net7,966.4
Module2.RegisterFile\[11\]\[0\],954.64
_0318_,939.92
net27,931.63
Module2.RegisterFile\[0\]\[2\],929.35
_0380_,926.95
_0422_,925.22
Module2.RegisterFile\[18\]\[1\],918.92
net16,914.76
net10,907.88
Module2.RegisterFile\[17\]\[0\],897.71
Module2.RegisterFile\[20\]\[1\],890.68
net3,880.58
_0334_,879.26
Module2.RegisterFile\[3\]\[1\],876.68
_0326_,867.44
_0463_,861.84
_0329_,861.52
_0397_,860.5
_0458_,854.08
Module2.RegisterFile\[17\]\[2\],850.9
net35,849
Module2.RegisterFile\[14\]\[1\],847.59
_0452_,845.02
net22,843.28
_0483_,838.34
_0375_,834.76
_0542_,832.38
_0357_,829.94
net28,828.8
_0478_,828.62
Module2.RegisterFile\[21\]\[1\],827.27
Module2.RegisterFile\[14\]\[3\],823.82
Module2.RegisterFile\[13\]\[1\],821.51
_0232_,818.92
Module2.RegisterFile\[6\]\[1\],816.57
Module2.RegisterFile\[8\]\[2\],815.44
Module2.RegisterFile\[7\]\[3\],815.38
_0447_,813.92
_0416_,803.64
Module2.RegisterFile\[31\]\[3\],796.02
net20,794.81
Module2.RegisterFile\[9\]\[2\],793.01
net17,790.78
Module2.RegisterFile\[12\]\[3\],788.86
Module2.RegisterFile\[30\]\[3\],784.52
_0468_,782.88
Module2.RegisterFile\[12\]\[1\],782.1
_0328_,780.26
Module2.RegisterFile\[26\]\[3\],775.18
_0164_,774.48
net2,772.63
Module2.RegisterFile\[4\]\[0\],772.58
Module2.RegisterFile\[9\]\[3\],771.96
Module2.RegisterFile\[21\]\[2\],770.62
_0142_,769.78
_0386_,763.54
Module2.RegisterFile\[4\]\[1\],762.59
net18,761.555
Module2.RegisterFile\[22\]\[1\],761.45
_0141_,754.14
_0040_,750.98
_0498_,749.59
Module2.RegisterFile\[18\]\[3\],747.18
_0064_,745.8
Module2.RegisterFile\[16\]\[0\],745.26
_0315_,741.38
Module2.RegisterFile\[7\]\[2\],738.22
Module2.RegisterFile\[19\]\[0\],738.12
Module2.RegisterFile\[12\]\[0\],737.85
Module2.RegisterFile\[10\]\[0\],736.5
_0391_,727.58
_0033_,725.72
_0284_,722.54
_0351_,721.52
Module2.RegisterFile\[27\]\[3\],720.9
_0398_,720.24
_0609_,719.845
Module2.RegisterFile\[0\]\[1\],716.82
_0090_,716.7
Module2.RegisterFile\[1\]\[1\],714.98
_0406_,714.86
_0067_,714.24
net24,710.72
_0119_,710.52
Module2.RegisterFile\[11\]\[3\],710.21
_0531_,710.15
Module2.RegisterFile\[24\]\[3\],709.43
_0453_,709.08
_0342_,708.88
Module2.RegisterFile\[13\]\[3\],707.735
_0358_,706.72
clknet_0_clk,703.17
_0442_,701.52
_0364_,701.01
Module2.RegisterFile\[29\]\[2\],697.14
Module2.RegisterFile\[27\]\[0\],696.94
Module2.RegisterFile\[17\]\[1\],696.42
_0178_,693.3
Module2.RegisterFile\[10\]\[1\],691.88
_0144_,690.78
Module2.RegisterFile\[28\]\[3\],684.65
_0499_,682.17
_0489_,681.21
Module2.RegisterFile\[4\]\[3\],680.95
_0313_,675.12
_0363_,673.82
_0574_,673.18
_0031_,673.12
_0565_,673.12
_0317_,666.32
_0299_,666.22
_0368_,666.03
Module2.RegisterFile\[3\]\[0\],658.04
_0437_,657.54
_0089_,656.64
Module2.RegisterFile\[8\]\[0\],656.42
Module2.RegisterFile\[25\]\[3\],655.88
Module2.RegisterFile\[10\]\[3\],655.22
Module2.RegisterFile\[19\]\[1\],654.9
_0473_,654.88
Module2.RegisterFile\[2\]\[1\],654.12
_0110_,653.22
net32,652.74
Module2.RegisterFile\[6\]\[0\],651.13
Module2.RegisterFile\[15\]\[0\],646.4
Module2.RegisterFile\[20\]\[2\],645.72
Module2.RegisterFile\[5\]\[3\],644.97
Module2.RegisterFile\[28\]\[2\],644.78
_0062_,643.46
_0341_,643.28
_0596_,641.84
_0249_,638.98
_0427_,637.87
Module2.RegisterFile\[19\]\[2\],636.835
net23,631.02
Module2.RegisterFile\[11\]\[1\],630.1
_0163_,630.1
Module2.RegisterFile\[3\]\[2\],629.98
Module2.RegisterFile\[1\]\[0\],628.36
Module2.RegisterFile\[7\]\[0\],628.14
_0493_,625.45
_0034_,623.895
Module2.RegisterFile\[23\]\[0\],622.35
_0374_,621.5
Module2.RegisterFile\[7\]\[1\],619.56
_0579_,618.42
Module2.RegisterFile\[3\]\[3\],616.2
_0411_,614.92
_0069_,613.76
_0171_,608.72
net33,605.17
_0449_,604.04
_0392_,603.38
_0497_,602.7
Module2.RegisterFile\[18\]\[0\],599.9
net8,598.88
_0414_,598.62
_0007_,596.66
_0488_,594.41
_0246_,594.04
_0487_,592.57
Module2.RegisterFile\[9\]\[0\],591.62
Module2.RegisterFile\[24\]\[0\],587.855
_0018_,586.68
Module2.RegisterFile\[6\]\[3\],586.38
Module2.RegisterFile\[22\]\[3\],585.95
Module2.RegisterFile\[29\]\[3\],585.92
_0099_,584.66
_0092_,583.69
_0454_,581.43
Module2.RegisterFile\[12\]\[2\],581.15
Module2.RegisterFile\[1\]\[3\],578.7
_0319_,577.585
Module2.RegisterFile\[10\]\[2\],576.96
_0010_,575.53
_0186_,574.95
_0108_,574.1
_0106_,572.4
_0292_,570.39
Module2.RegisterFile\[8\]\[1\],570.38
net31,564.17
net34,563.99
_0366_,559.35
_0257_,558.42
_0306_,554.34
_0157_,551.6
_0332_,550.71
_0132_,550.7
_0543_,547.35
_0356_,546.86
Module2.RegisterFile\[6\]\[2\],546.56
_0413_,546.12
Module2.RegisterFile\[0\]\[3\],544.23
Module2.RegisterFile\[24\]\[2\],543.72
Module2.RegisterFile\[23\]\[1\],543.16
_0613_,542.36
_0592_,541.84
Module2.RegisterFile\[14\]\[2\],541.72
_0462_,539.15
Module2.RegisterFile\[13\]\[2\],538.84
_0066_,538.36
net26,534.28
_0154_,533.96
