net,length_um
_065_,278.16
_199_,247.1
net2,237.11
_151_,216.72
_089_,206.24
_064_,202.53
_066_,197.06
imem.address\[1\],196.55
clknet_1_0__leaf_CLK100MHZ,196.12
_174_,196.015
_133_,195.66
_067_,193.41
_204_,188.04
_047_,184.82
_138_,184.445
_073_,178.95
_011_,178.585
_040_,178.57
_099_,178.55
_157_,175.77
_078_,172.39
clknet_1_1__leaf_CLK100MHZ,163.13
_060_,160.93
_168_,158.94
_061_,158.69
net1,150.07
_184_,149.74
_163_,147.66
_188_,146.33
imem.address\[0\],144.865
_032_,144.42
_100_,143.41
_071_,140.82
_063_,140.74
_053_,140.69
_092_,140.56
_091_,140.49
_172_,138.89
_093_,135.66
rf.regs\[5\]\[4\],134.9
rf.regs\[10\]\[0\],134.47
_130_,132.72
_113_,131.75
_103_,129.26
_135_,127.92
rf.regs\[0\]\[3\],126.86
rf.regs\[0\]\[0\],126.54
_173_,126.06
_104_,125.92
_165_,125.32
_083_,123.48
_190_,122.2
_096_,121.73
_181_,121.22
_202_,120.7
rf.regs\[10\]\[2\],119.7
_213_,119.4
_050_,119.04
_013_,117.92
_068_,117.67
rf.regs\[25\]\[4\],117.63
_146_,117.52
_106_,116.64
_194_,115.82
_054_,114.38
_111_,114.14
_141_,113.42
_124_,113.4
_128_,112.42
_137_,112.01
_186_,112.01
_144_,110.97
_170_,109.96
rf.regs\[5\]\[2\],109.24
_149_,109.1
rf.regs\[10\]\[3\],108.28
_105_,107.22
_084_,107.1
_009_,106.365
_136_,106.02
_166_,105.86
_156_,105.635
_098_,105.43
_072_,104.74
_191_,104.03
rf.regs\[25\]\[3\],103.84
_119_,103.36
_179_,102.68
rf.regs\[25\]\[1\],102.26
_158_,102.22
_167_,102.1
_076_,102.02
_095_,101.64
_189_,101.34
_209_,101.22
_206_,99.6
_161_,98.96
_109_,98.83
_198_,98.68
_180_,97.8
_150_,96.68
_183_,96.14
_006_,96.035
_079_,95.58
_102_,95.07
_081_,94.84
rf.regs\[0\]\[2\],94.64
_210_,94.38
_187_,92.85
imem.address\[2\],91.9
_087_,89.66
_114_,89.64
_048_,88.9
_080_,88.35
_029_,86.48
_195_,85.7
_082_,85.42
rf.regs\[15\]\[2\],85.27
_059_,85.08
rf.regs\[15\]\[0\],84.38
_110_,84.28
_101_,83.24
_031_,82.16
rf.regs\[5\]\[0\],81.22
rf.regs\[5\]\[3\],81.16
rf.regs\[15\]\[3\],80.92
rf.regs\[15\]\[1\],80.68
_028_,79.7
rf.regs\[0\]\[4\],79.625
_162_,78.92
_108_,78.66
net6,77.88
_015_,77.76
_046_,77.62
CLK100MHZ,76.35
_203_,76.06
_129_,75.66
net8,75.52
_121_,75.12
_041_,74.72
_077_,74.31
_007_,73.64
_140_,72.84
rf.regs\[10\]\[4\],72.84
rf.regs\[15\]\[4\],72.39
_027_,71.42
_192_,70.26
_152_,70.06
rf.regs\[0\]\[1\],69.7
_026_,68.945
_193_,68.08
_022_,67.955
_153_,67.5
_154_,67.36
_043_,66.84
_025_,66.745
_107_,66.705
_169_,66.22
rf.regs\[25\]\[0\],65.32
_023_,64.865
_112_,64.78
_039_,64.52
_036_,64.44
net7,63.98
_002_,63.25
_118_,62.16
_164_,61.64
_020_,60.42
_201_,59.32
_214_,59.32
_171_,59.06
_014_,58.545
_033_,57.3
_117_,57.3
_122_,56.795
_212_,56.74
_088_,55.42
_005_,53.525
_185_,53.16
net5,53.04
_205_,52.7
net3,52.46
_134_,52.22
_037_,52.08
_055_,50.88
_132_,50.3
_211_,50.3
_062_,48.34
_143_,48.18
_086_,48.1
_010_,47.985
_120_,47.22
_177_,47.14
rf.regs\[25\]\[2\],47.01
_116_,46.64
_012_,44.485
_057_,44.38
_159_,44.28
_004_,43.565
_127_,43.56
rf.regs\[5\]\[1\],43.39
_131_,42.46
_085_,41.2
_155_,41.04
_034_,40.24
rf.regs\[10\]\[1\],39.37
_176_,39.28
_016_,39.06
_207_,39
_200_,38.2
_145_,37.18
_070_,37
_024_,35.345
_042_,34.12
_123_,34
_056_,33.62
_017_,32.745
_038_,32.04
_115_,30.08
_090_,29.84
_175_,29.8
_003_,29.765
_052_,28.58
net4,28.4
_178_,28.18
_126_,28.1
_142_,27.34
_019_,27.225
_049_,27.06
_045_,26.78
_008_,24.165
_147_,23.84
net9,23.8
_148_,22.4
_000_,21.87
_182_,20.52
clknet_0_CLK100MHZ,20.28
_097_,20.1
_069_,19.36
_196_,19
_125_,18.56
_208_,18.22
_074_,17.64
_160_,17.36
_018_,16.985
_001_,16.37
_021_,15.125
net10,14.91
_044_,14.34
_139_,13.18
_051_,12.08
_075_,9.02
_094_,8.9
seg[2],7.49
_058_,7.14
seg[6],7.11
seg[3],6.23
net11,5.77
BTNR,5.07
net12,5.07
BTNU,4.61
net13,4.39
seg[0],4.39
seg[1],4.39
seg[4],4.39
seg[5],4.39
_197_,3.42
_030_,3.3
_035_,3.08
